"Timestamp","Intenção","Sentença"
"2021/03/25 3:07:22 PM GMT-3","Consultar saldo da conta","Qual o meu saldo"
"2021/03/25 3:07:22 PM GMT-3","Interagir com a luz ou o ar-condicionado","Ligue a luz"
"2021/03/25 3:07:36 PM GMT-3","Consultar saldo da conta","Me diga meu saldo"
"2021/03/25 3:07:39 PM GMT-3","Consultar saldo da conta","Qual o meu saldo?"
"2021/03/25 3:07:47 PM GMT-3","Interagir com a luz ou o ar-condicionado","está muito claro"
"2021/03/25 3:07:56 PM GMT-3","Obter informações relativas ao clima","vai chover?"
"2021/03/25 3:08:07 PM GMT-3","Obter informações relativas ao clima","Qual o clima amanhã?"
"2021/03/25 3:08:12 PM GMT-3","Interagir com a luz ou o ar-condicionado","aumente a temperatura"
"2021/03/25 3:08:12 PM GMT-3","Obter informações relativas ao clima","Qual a temperatura?"
"2021/03/25 3:08:14 PM GMT-3","Interagir com a luz ou o ar-condicionado","Foxbot, apague a luz"
"2021/03/25 3:08:16 PM GMT-3","Interagir com a luz ou o ar-condicionado","estou com frio"
"2021/03/25 3:08:19 PM GMT-3","Obter informações relativas ao clima","vai fazer sol hoje?"
"2021/03/25 3:08:25 PM GMT-3","Interagir com a luz ou o ar-condicionado","Desligue a luz"
"2021/03/25 3:08:29 PM GMT-3","Interagir com a luz ou o ar-condicionado","Acenda a luz"
"2021/03/25 3:08:36 PM GMT-3","Interagir com a luz ou o ar-condicionado","FoxBot Bom Dia (liga as luzes)"
"2021/03/25 3:08:37 PM GMT-3","Interagir com a luz ou o ar-condicionado","deixe o ambiente mais quente"
"2021/03/25 3:08:43 PM GMT-3","Interagir com a luz ou o ar-condicionado","Foxbot, apaga a luz aí"
"2021/03/25 3:08:44 PM GMT-3","Interagir com a luz ou o ar-condicionado","diminua a temperatura"
"2021/03/25 3:08:45 PM GMT-3","Interagir com a luz ou o ar-condicionado","Ligar Luz"
"2021/03/25 3:08:49 PM GMT-3","Consultar saldo da conta","quanto estou devendo no banco"
"2021/03/25 3:09:02 PM GMT-3","Obter informações relativas ao clima","Foxbot, vai tá quente hoje?"
"2021/03/25 3:09:02 PM GMT-3","Interagir com a luz ou o ar-condicionado","Qual a temperatura do ar condicionado?"
"2021/03/25 3:09:05 PM GMT-3","Interagir com a luz ou o ar-condicionado","desligue todos os dispositivos"
"2021/03/25 3:09:15 PM GMT-3","Consultar saldo da conta","FoxBot quanto tem na minha conta?"
"2021/03/25 3:09:15 PM GMT-3","Obter informações relativas ao clima","Vai fazer frio hoje?"
"2021/03/25 3:09:16 PM GMT-3","Consultar saldo da conta","saldo"
"2021/03/25 3:09:20 PM GMT-3","Obter informações relativas ao clima","qual a previsão do tempo?"
"2021/03/25 3:09:22 PM GMT-3","Consultar saldo da conta","Quanto dinheiro tenho em minha conta?"
"2021/03/25 3:09:24 PM GMT-3","Consultar saldo da conta","Foxbot, qual é o meu saldo"
"2021/03/25 3:09:25 PM GMT-3","Consultar saldo da conta","extrato"
"2021/03/25 3:09:26 PM GMT-3","Consultar saldo da conta","quanto dinheiro eu tenho"
"2021/03/25 3:09:27 PM GMT-3","Consultar saldo da conta","qual era o meu saldo ontem?"
"2021/03/25 3:09:28 PM GMT-3","Obter informações relativas ao clima","vai chover?"
"2021/03/25 3:09:30 PM GMT-3","Consultar saldo da conta","FoxBot saldo da conta"
"2021/03/25 3:09:33 PM GMT-3","Obter informações relativas ao clima","Está chovendo?"
"2021/03/25 3:09:37 PM GMT-3","Obter informações relativas ao clima","Qual a previsão do tempo para hoje?"
"2021/03/25 3:09:40 PM GMT-3","Obter informações relativas ao clima","Devo usar um casaco?"
"2021/03/25 3:09:41 PM GMT-3","Consultar saldo da conta","Foxbot, quanto tenho na conta?"
"2021/03/25 3:09:43 PM GMT-3","Interagir com a luz ou o ar-condicionado","quantos graus está o ar condicionado?"
"2021/03/25 3:09:46 PM GMT-3","Interagir com a luz ou o ar-condicionado","ligue a luz"
"2021/03/25 3:09:47 PM GMT-3","Obter informações relativas ao clima","FoxBot esta calor?"
"2021/03/25 3:09:47 PM GMT-3","Obter informações relativas ao clima","está nublado hoje"
"2021/03/25 3:09:49 PM GMT-3","Interagir com a luz ou o ar-condicionado","Acenda a luz"
"2021/03/25 3:09:52 PM GMT-3","Interagir com a luz ou o ar-condicionado","Está muito quente/frio"
"2021/03/25 3:09:52 PM GMT-3","Obter informações relativas ao clima","Devo usar uma regata?"
"2021/03/25 3:09:53 PM GMT-3","Obter informações relativas ao clima","preciso levar um guarda-chuva?"
"2021/03/25 3:09:54 PM GMT-3","Interagir com a luz ou o ar-condicionado","Tempo estimado até minha casa"
"2021/03/25 3:09:55 PM GMT-3","Interagir com a luz ou o ar-condicionado","Diminua a temperatura"
"2021/03/25 3:09:58 PM GMT-3","Obter informações relativas ao clima","vai chover"
"2021/03/25 3:10:00 PM GMT-3","Obter informações relativas ao clima","qual a temperatura máxima para a semana?"
"2021/03/25 3:10:03 PM GMT-3","Obter informações relativas ao clima","FoxBot preciso de um guarda-chuva"
"2021/03/25 3:10:04 PM GMT-3","Obter informações relativas ao clima","Foxbot, devo levar capa de chuva?"
"2021/03/25 3:10:05 PM GMT-3","Obter informações relativas ao clima","Preciso de um guarda chuva hoje?"
"2021/03/25 3:10:05 PM GMT-3","Consultar saldo da conta","Quantos reais tenho em minha conta?"
"2021/03/25 3:10:10 PM GMT-3","Interagir com a luz ou o ar-condicionado","Qual é a temperatura do quarto?"
"2021/03/25 3:10:11 PM GMT-3","Consultar saldo da conta","Consigo comprar uma televisão nova?"
"2021/03/25 3:10:14 PM GMT-3","Consultar saldo da conta","Qual meu saldo bancário?"
"2021/03/25 3:10:14 PM GMT-3","Interagir com a luz ou o ar-condicionado","está muito escuro"
"2021/03/25 3:10:15 PM GMT-3","Obter informações relativas ao clima","qual a temperatura mínima para a semana?"
"2021/03/25 3:10:19 PM GMT-3","Obter informações relativas ao clima","Vai chover?"
"2021/03/25 3:10:21 PM GMT-3","Obter informações relativas ao clima","Foxbot, vai nevar hoje?"
"2021/03/25 3:10:22 PM GMT-3","Interagir com a luz ou o ar-condicionado","+ luz"
"2021/03/25 3:10:25 PM GMT-3","Obter informações relativas ao clima","Amanhã vai fazer calor?"
"2021/03/25 3:10:28 PM GMT-3","Interagir com a luz ou o ar-condicionado","Preço do ethereum"
"2021/03/25 3:10:28 PM GMT-3","Interagir com a luz ou o ar-condicionado","- luz"
"2021/03/25 3:10:33 PM GMT-3","Obter informações relativas ao clima","Como estará o clima na segunda/terça/outro dia da semana?"
"2021/03/25 3:10:34 PM GMT-3","Interagir com a luz ou o ar-condicionado","Está escuro em"
"2021/03/25 3:10:36 PM GMT-3","Interagir com a luz ou o ar-condicionado","Aumente a temperatura do ar condicionado para 22 graus"
"2021/03/25 3:10:41 PM GMT-3","Obter informações relativas ao clima","Vai fazer sol hoje?"
"2021/03/25 3:10:47 PM GMT-3","Interagir com a luz ou o ar-condicionado","desligar luz"
"2021/03/25 3:10:48 PM GMT-3","Obter informações relativas ao clima","qual é a intensidade da luz"
"2021/03/25 3:10:53 PM GMT-3","Obter informações relativas ao clima","preciso levar um casaco?"
"2021/03/25 3:10:54 PM GMT-3","Interagir com a luz ou o ar-condicionado","apague a luz daqui a meia hora"
"2021/03/25 3:10:54 PM GMT-3","Interagir com a luz ou o ar-condicionado","Está escuro aqui"
"2021/03/25 3:10:55 PM GMT-3","Interagir com a luz ou o ar-condicionado","Foxbot, desligue o ar, está muito frio "
"2021/03/25 3:10:56 PM GMT-3","Interagir com a luz ou o ar-condicionado","diminua a temperatura do ar condicionado em 2 graus"
"2021/03/25 3:11:01 PM GMT-3","Obter informações relativas ao clima","FoxBot está calor!"
"2021/03/25 3:11:02 PM GMT-3","Interagir com a luz ou o ar-condicionado","Foxbot, tô com frio. Desligue o ar."
"2021/03/25 3:11:03 PM GMT-3","Interagir com a luz ou o ar-condicionado","Ligar para amigo"
"2021/03/25 3:11:03 PM GMT-3","Interagir com a luz ou o ar-condicionado","Foxbot, acordei"
"2021/03/25 3:11:08 PM GMT-3","Interagir com a luz ou o ar-condicionado","Foxbot, estou com calor"
"2021/03/25 3:11:09 PM GMT-3","Obter informações relativas ao clima","qual é a chance de chover hoje"
"2021/03/25 3:11:14 PM GMT-3","Obter informações relativas ao clima","está quente?"
"2021/03/25 3:11:17 PM GMT-3","Interagir com a luz ou o ar-condicionado","Mude a temperatura do ar para 15 graus"
"2021/03/25 3:11:17 PM GMT-3","Obter informações relativas ao clima","FoxBot está frio aqui dentro"
"2021/03/25 3:11:23 PM GMT-3","Obter informações relativas ao clima","está frio?"
"2021/03/25 3:11:31 PM GMT-3","Obter informações relativas ao clima","Quanto graus está lá fora?"
"2021/03/25 3:11:34 PM GMT-3","Interagir com a luz ou o ar-condicionado","Foxbot, dá uma segurada na potência do ar aí"
"2021/03/25 3:11:40 PM GMT-3","Consultar saldo da conta","Quanto dinheiro tenho?"
"2021/03/25 3:11:40 PM GMT-3","Obter informações relativas ao clima","Qual o clima de hoje?"
"2021/03/25 3:11:41 PM GMT-3","Consultar saldo da conta","Quando é o fechamento pagamento da fatura do cartão"
"2021/03/25 3:11:42 PM GMT-3","Interagir com a luz ou o ar-condicionado","Foxbot estou passando mal de calor"
"2021/03/25 3:11:52 PM GMT-3","Consultar saldo da conta","Quanto eu dinheiro tenho?"
"2021/03/25 3:12:00 PM GMT-3","Consultar saldo da conta","Foxbot, quanta grana eu tenho?"
"2021/03/25 3:12:05 PM GMT-3","Consultar saldo da conta","FoxBot quanto posso gastar?"
"2021/03/25 3:12:07 PM GMT-3","Interagir com a luz ou o ar-condicionado","esta muito quente"
"2021/03/25 3:12:12 PM GMT-3","Consultar saldo da conta","Minha conta bancária está vazia?"
"2021/03/25 3:12:19 PM GMT-3","Consultar saldo da conta","Minha conta está negativa?"
"2021/03/25 3:12:22 PM GMT-3","Consultar saldo da conta","Foxbot, diz aí quanto dinheiro eu tenho"
"2021/03/25 3:12:23 PM GMT-3","Interagir com a luz ou o ar-condicionado","Foxbot, lumus"
"2021/03/25 3:12:24 PM GMT-3","Interagir com a luz ou o ar-condicionado","desligue o arcondicionado em 3 horas"
"2021/03/25 3:12:29 PM GMT-3","Interagir com a luz ou o ar-condicionado","Minha internet caiu"
"2021/03/25 3:12:30 PM GMT-3","Interagir com a luz ou o ar-condicionado","temperatura minima do ac"
"2021/03/25 3:12:33 PM GMT-3","Interagir com a luz ou o ar-condicionado","FoxBot tenho medo do escuro"
"2021/03/25 3:12:36 PM GMT-3","Interagir com a luz ou o ar-condicionado","Diminua a temperatura"
"2021/03/25 3:12:42 PM GMT-3","Consultar saldo da conta","Foxbot, estou negativado?"
"2021/03/25 3:12:47 PM GMT-3","Consultar saldo da conta","qunato tenho de din?"
"2021/03/25 3:12:51 PM GMT-3","Obter informações relativas ao clima","FoxBot posso ir pra praia no fim de semana?"
"2021/03/25 3:12:52 PM GMT-3","Interagir com a luz ou o ar-condicionado","Foxbot, ligar tudo"
"2021/03/25 3:12:59 PM GMT-3","Interagir com a luz ou o ar-condicionado","Aumente a temperatura"
"2021/03/25 3:13:01 PM GMT-3","Interagir com a luz ou o ar-condicionado","ligue o refrigerador de ambiente"
"2021/03/25 3:13:02 PM GMT-3","Consultar saldo da conta","qual é $ na conta?"
"2021/03/25 3:13:04 PM GMT-3","Obter informações relativas ao clima","Foxbot, piscina hoje?"
"2021/03/25 3:13:05 PM GMT-3","Interagir com a luz ou o ar-condicionado","FoxBot esta frio aqui dentro"
"2021/03/25 3:13:07 PM GMT-3","Obter informações relativas ao clima","como esta o aquecimento global"
"2021/03/25 3:13:25 PM GMT-3","Obter informações relativas ao clima","Foxbot, rola um piscininha hoje?"
"2021/03/25 3:13:44 PM GMT-3","Consultar saldo da conta","quantos kinderovos eu posso comprar com o meu saldo"
"2021/03/25 3:13:59 PM GMT-3","Consultar saldo da conta","Foxbot, quanto ainda posso gastar?"
"2021/03/25 3:14:00 PM GMT-3","Obter informações relativas ao clima","qual será o clima de terça feira que vem"
"2021/03/25 3:14:02 PM GMT-3","Interagir com a luz ou o ar-condicionado","Aumente o ar"
"2021/03/25 3:14:14 PM GMT-3","Consultar saldo da conta","qual é o meu maior custo atualmente"
"2021/03/25 3:14:16 PM GMT-3","Interagir com a luz ou o ar-condicionado","Diminua o ar"
"2021/03/25 3:14:16 PM GMT-3","Consultar saldo da conta","Foxbot, quanto dinheiro tenho pra gastar?"
"2021/03/25 3:14:18 PM GMT-3","Obter informações relativas ao clima","qual é o clima da próxima quinta feira?"